Program Acronym,Program Full Name,User Facility Acronym,User Facility Full Name,User Facility Host Institution Acronym,User Facility Host Institution Name,Project/Experiment Title,Project/Experiment Type,Home Institution Name,Home Institution City,Home Institution State/Province/Territory,Home Institution Country,Industry?,Home Institution Type
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,ECP SOLLVE Validation & Verification Test Suite (OMPVV),Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Efficient and Robust Compressor Designs for Supercritical CO2 Power Cycles,Non-Proprietary,"Combustion Research and Flow Technology, Inc (CRAFT Tech)",Pipersville,PA,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Efficient and Robust Compressor Designs for Supercritical CO2 Power Cycles,Non-Proprietary,"Combustion Research and Flow Technology, Inc (CRAFT Tech)",Pipersville,PA,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Efficient and Robust Compressor Designs for Supercritical CO2 Power Cycles,Non-Proprietary,"Combustion Research and Flow Technology, Inc (CRAFT Tech)",Pipersville,PA,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Efficient and Robust Compressor Designs for Supercritical CO2 Power Cycles,Non-Proprietary,"Combustion Research and Flow Technology, Inc (CRAFT Tech)",Pipersville,PA,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,EIC Diffusion,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Electronic structure calculations and simulations of chemical and biological systems,Non-Proprietary,Q-Chem Inc.,Export,PA,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Enabling GAMESS for Exascale Computing in Chemistry and Materials,Non-Proprietary,EP Analytics Inc,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Enabling GAMESS for Exascale Computing in Chemistry and Materials,Non-Proprietary,EP Analytics Inc,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Enabling GAMESS for Exascale Computing in Chemistry and Materials,Non-Proprietary,EP Analytics Inc,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Enabling GAMESS for Exascale Computing in Chemistry and Materials,Non-Proprietary,EP Analytics Inc,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Enabling GAMESS for Exascale Computing in Chemistry and Materials,Non-Proprietary,EP Analytics Inc,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,"Advanced Micro Devices, Inc.",Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,"Atmospheric and Environmental Research, Inc.",Lexington,MA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,"Atmospheric and Environmental Research, Inc.",Lexington,MA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,Cohere Consulting LLC,Seattle,WA,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,"Atmospheric and Environmental Research, Inc.",Lexington,MA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,"Atmospheric and Environmental Research, Inc.",Lexington,MA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,Hewlett-Packard Company,Palo Alto,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Energy Exascale Earth System Modeling (E3SM),Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,ERF-X NESAP Project,Non-Proprietary,Nvidia Corporation,Pune,,India,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,"Exploring global aerosol cloud interactions in unprecedented numerical fidelity by combining breakthroughs in multi-scale modeling, GPU supercomputing and neural network process emulation",Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,FlowVQLS: A general framework variational quantum linear solver for solving fluid flow problems,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,FlowVQLS: A general framework variational quantum linear solver for solving fluid flow problems,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,Non-Proprietary,"Advanced Micro Devices, Inc.",Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,Non-Proprietary,Tech-X Corporation,Boulder,CO,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,Non-Proprietary,Fiat Lux LLC,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,Non-Proprietary,Fiat Lux LLC,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,Non-Proprietary,Tech-X Corporation,Boulder,CO,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Flying-Focus-Driven Laser–Plasma Accelerator for Single-Stage TeV Electron Beams,Non-Proprietary,Ergodic LLC,San Francisco,CA,United States,Yes,For-Profit Organization (Other than Small Business)
